TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished
10,1233186384,43.0827885,-76.1771582,134.4682058,7,1
10,432814178,43.0274945,-76.0402463,999,-1,1
20,1233186384,43.0827885,-76.1749477,134.1761084,7,1
20,432814178,43.0258743,-76.0402463,999,-1,1
30,432814178,43.024254,-76.0402463,999,-1,1
30,1233186384,43.0827885,-76.1727373,134.0400661,7,1
40,432814178,43.0226337,-76.0402463,999,-1,1
40,1581941446,43.0483664,-76.2533323,999,-1,1
40,1233186384,43.0827885,-76.1705268,134.0701007,7,1
40,855323113,43.0796799,-76.1726862,130.8446625,7,1
40,265804194,43.0355059,-76.1334907,130.338706,3,1
50,1581941446,43.0483664,-76.2511231,999,-1,1
50,855323113,43.0796799,-76.1704759,130.8999094,7,1
50,432814178,43.0210135,-76.0402463,999,-1,1
50,1233186384,43.0827885,-76.1683164,134.2639589,7,1
50,265804194,43.0338857,-76.1334907,132.1487498,3,1
60,855323113,43.0796799,-76.1682655,131.218364,7,1
60,1233186384,43.0827885,-76.1661059,134.6076483,7,1
60,432814178,43.0193932,-76.0402463,999,-1,1
60,265804194,43.0322654,-76.1334907,133.7414735,3,1
60,1581941446,43.0483664,-76.2489139,999,-1,1
70,1581941446,43.0483664,-76.2467047,999,-1,1
70,265804194,43.0306452,-76.1334907,135.1628474,3,1
70,855323113,43.0796799,-76.1660552,999,-1,1
70,1233186384,43.0827885,-76.1638955,135.0785831,7,1
70,432814178,43.017773,-76.0402463,999,-1,1
70,1917132249,43.0827768,-76.1720188,134.0207961,7,1
80,432814178,43.0161527,-76.0402463,999,-1,1
80,265804194,43.0290249,-76.1334907,136.4458068,3,1
80,855323113,43.0796799,-76.1638448,132.4838925,7,1
80,1233186384,43.0827885,-76.161685,135.6499734,7,1
80,1581941446,43.0483664,-76.2444955,999,-1,1
80,1917132249,43.0827768,-76.1698084,134.1050696,7,1
90,1581941446,43.0483664,-76.2422862,999,-1,1
90,855323113,43.0796799,-76.1616345,999,-1,1
90,265804194,43.0274046,-76.1334907,137.6147054,3,1
90,1233186384,43.0827885,-76.1594746,136.2949017,7,1
90,432814178,43.0145324,-76.0402463,999,-1,1
90,1917132249,43.0827768,-76.1675979,134.3500486,7,1
100,2014572005,43.051301,-76.2537408,999,-1,1
100,1581941446,43.0483664,-76.240077,999,-1,1
100,1233186384,43.0827884,-76.1572641,136.989139,7,1
100,319618935,43.0809626,-76.1707691,132.2846018,7,1
100,432814178,43.0129122,-76.0402463,999,-1,1
100,581385853,43.0363909,-76.1344985,129.1047131,3,1
100,855323113,43.0796799,-76.1594242,134.2290953,7,1
100,265804194,43.0257844,-76.1334907,138.6880345,3,1
100,1917132249,43.0827768,-76.1653875,134.7384555,7,1
110,265804194,43.0241641,-76.1334907,138.9336266,0,1
110,319618935,43.0809626,-76.1685587,132.5152378,7,1
110,855323113,43.0796799,-76.1572138,135.1677563,7,1
110,1233186384,43.0827884,-76.1550537,137.7125338,7,1
110,432814178,43.0112919,-76.0402463,999,-1,1
110,1581941446,43.0483664,-76.2378678,999,-1,1
110,2014572005,43.051301,-76.2515315,999,-1,1
110,581385853,43.0347706,-76.1344985,131.0940105,3,1
110,1917132249,43.0827768,-76.163177,135.245774,7,1
120,432814178,43.0096716,-76.0402463,999,-1,1
120,2014572005,43.051301,-76.2493221,999,-1,1
120,581385853,43.0331504,-76.1344985,132.8210374,3,1
120,1581941446,43.0475562,-76.2376469,999,-1,1
120,855323113,43.0796799,-76.1550035,136.1111319,7,1
120,319618935,43.0809626,-76.1663483,132.9394854,7,1
120,1233186384,43.0827884,-76.1528432,136.9880658,6,1
120,265804194,43.0225438,-76.1334907,138.5087483,0,1
120,1917132249,43.0827768,-76.1609666,135.8447072,7,1
130,319618935,43.0809626,-76.1641379,133.521808,7,1
130,2027308069,43.0821702,-76.1775913,134.0107263,7,1
130,265804194,43.0209236,-76.1334907,138.1440607,0,1
130,581385853,43.0315301,-76.1344985,134.3466638,3,1
130,1233186384,43.0827884,-76.1506328,135.9436296,6,1
130,2014572005,43.051301,-76.2471128,999,-1,1
130,533586463,43.0362227,-76.1309647,999,-1,1
130,432814178,43.0080514,-76.0402463,999,-1,1
130,1581941446,43.045936,-76.2376469,999,-1,1
130,855323113,43.0796799,-76.1527932,135.9445769,6,1
130,1917132249,43.0827768,-76.1587561,136.5089192,7,1
140,2027308069,43.0821702,-76.1753809,133.6621529,7,1
140,581385853,43.0299098,-76.1344985,135.7128321,3,1
140,533586463,43.0346025,-76.1309647,999,-1,1
140,265804194,43.0193033,-76.1334907,137.8517408,0,1
140,1581941446,43.0443157,-76.2376469,999,-1,1
140,855323113,43.0796799,-76.1505828,134.703734,6,1
140,432814178,43.0064311,-76.0402463,999,-1,1
140,2014572005,43.051301,-76.2449035,999,-1,1
140,1233186384,43.0827884,-76.1484223,134.8488673,6,1
140,319618935,43.0809626,-76.1619276,134.2213668,7,1
140,1917132249,43.0827768,-76.1565457,137.2153783,7,1
150,2027308069,43.0821702,-76.1731704,133.4791216,7,1
150,319618935,43.0809626,-76.1597172,134.999292,7,1
