TimeStep,ID,Latitude,Longitude,SignalStrength,CurrentBasestation,finished,Trajectory
1,1737904745,43.0789789,-76.1752739,130.4645308,7,1,-1
1,1458493498,43.0368617,-76.1339751,128.5925007,1,1,-1
2,1737904745,43.0788322,-76.1751801,130.2737938,7,1,-1
2,1458493498,43.036762,-76.133801,128.7518673,1,1,-1
3,1737904745,43.0786855,-76.1750863,130.0803688,7,1,-1
3,1458493498,43.0366622,-76.133627,999,-1,1,-1
4,1458493498,43.0365622,-76.1334532,129.0705852,1,1,-1
4,1737904745,43.0785387,-76.1749925,129.8841836,7,1,-1
5,1458493498,43.0364621,-76.1332795,129.2297573,1,1,-1
5,1737904745,43.078392,-76.1748988,129.6851635,7,1,-1
6,1737904745,43.0782452,-76.1748052,999,-1,1,-1
6,1458493498,43.0363619,-76.1331059,129.3886963,1,1,-1
7,1458493498,43.0362616,-76.1329325,129.5473282,1,1,-1
7,1737904745,43.0780985,-76.1747116,129.2783049,7,1,-1
8,1737904745,43.0779517,-76.174618,129.0703023,7,1,-1
8,1458493498,43.0361611,-76.1327592,129.7055849,1,1,-1
9,1458493498,43.0360605,-76.1325861,129.8634036,1,1,-1
9,1737904745,43.0778048,-76.1745245,128.8591363,7,1,-1
10,1458493498,43.0359597,-76.1324131,130.0207264,1,1,-1
10,1737904745,43.077658,-76.1744311,128.6447167,7,1,-1
11,60575480,43.0508526,-76.2443105,138.2162031,9,1,-1
11,757675095,43.0773812,-76.1770672,128.9813641,7,1,-1
11,234184799,43.0371802,-76.1312444,128.797893,1,1,-1
11,1458493498,43.0358589,-76.1322403,130.1775003,1,1,-1
11,1737904745,43.0775112,-76.1743377,128.4269499,7,1,-1
12,757675095,43.0772784,-76.1768964,128.7888557,7,1,-1
12,1458493498,43.0357578,-76.1320676,130.3336769,1,1,-1
12,234184799,43.0370689,-76.131084,128.9936601,1,1,-1
12,60575480,43.0507841,-76.2441103,138.1566156,9,1,-1
12,1737904745,43.0773643,-76.1742444,128.2057389,7,1,-1
13,60575480,43.0507156,-76.2439101,138.0973928,9,1,-1
13,757675095,43.0771755,-76.1767256,128.5943148,7,1,-1
13,1737904745,43.0772174,-76.1741511,127.9809827,7,1,-1
13,1458493498,43.0356567,-76.131895,130.4892117,1,1,-1
13,234184799,43.0369574,-76.1309237,129.1873461,1,1,-1
14,60575480,43.0506471,-76.2437099,138.0385499,9,1,-1
14,1737904745,43.0770705,-76.1740579,999,-1,1,-1
14,234184799,43.0368458,-76.1307636,129.3789654,1,1,-1
14,1458493498,43.0355554,-76.1317226,130.6440644,1,1,-1
14,757675095,43.0770726,-76.1765549,128.3977326,7,1,-1
15,1458493498,43.035454,-76.1315504,130.7981982,1,1,-1
15,60575480,43.0505785,-76.2435097,999,-1,1,-1
15,1737904745,43.0769236,-76.1739647,127.5204117,7,1,-1
15,234184799,43.036734,-76.1306037,129.5685343,1,1,-1
15,757675095,43.0769697,-76.1763842,128.1991028,7,1,-1
16,1737904745,43.0767766,-76.1738716,127.284375,7,1,-1
16,234184799,43.0366221,-76.1304439,129.7560709,1,1,-1
16,757675095,43.0768667,-76.1762136,127.9984226,7,1,-1
16,1458493498,43.0353524,-76.1313783,999,-1,1,-1
16,60575480,43.0505099,-76.2433095,137.9220652,9,1,-1
17,1737904745,43.0766297,-76.1737785,127.0443494,7,1,-1
17,757675095,43.0767637,-76.176043,127.7956929,7,1,-1
17,60575480,43.0504413,-76.2431094,999,-1,1,-1
17,234184799,43.0365101,-76.1302843,129.941595,1,1,-1
17,1458493498,43.0352507,-76.1312064,131.1041795,1,1,-1
18,1737904745,43.0764827,-76.1736855,126.8002129,7,1,-1
18,60575480,43.0503727,-76.2429093,999,-1,1,-1
18,757675095,43.0766606,-76.1758725,127.5909188,7,1,-1
18,1458493498,43.0351488,-76.1310346,999,-1,1,-1
18,234184799,43.036398,-76.1301249,130.1251275,1,1,-1
19,1458493498,43.0350468,-76.130863,131.4069269,1,1,-1
19,60575480,43.050304,-76.2427092,137.7505782,9,1,-1
19,757675095,43.0765575,-76.175702,127.3841102,7,1,-1
19,1737904745,43.0763357,-76.1735925,126.5518394,7,1,-1
19,234184799,43.0362857,-76.1299656,130.3066908,1,1,-1
20,1737904745,43.0761887,-76.1734996,126.2990978,7,1,-1
20,757675095,43.0764544,-76.1755315,999,-1,1,-1
20,234184799,43.0361733,-76.1298066,999,-1,1,-1
20,60575480,43.0502353,-76.2425091,137.6943449,9,1,-1
20,1458493498,43.0349447,-76.1306915,131.5570289,1,1,-1
21,234184799,43.0360608,-76.1296477,130.6640024,1,1,-1
21,757675095,43.0763512,-76.1753611,126.9644569,7,1,-1
21,72524579,43.038138,-76.133262,126.8037086,1,1,-1
21,60575480,43.0501666,-76.242309,137.6386038,9,1,-1
21,1737904745,43.0760416,-76.1734068,126.0418522,7,1,-1
21,1708706542,43.0286337,-76.0377421,999,-1,1,-1
21,1458493498,43.0348424,-76.1305202,999,-1,1,-1
22,1737904745,43.0758946,-76.173314,125.7799621,7,1,-1
22,757675095,43.0762479,-76.1751908,126.7516616,7,1,-1
22,60575480,43.0500978,-76.242109,137.583372,9,1,-1
22,1708706542,43.0286127,-76.0379611,999,-1,1,-1
22,72524579,43.0379767,-76.1332425,127.0563409,1,1,-1
22,234184799,43.0359481,-76.1294889,130.8397992,1,1,-1
22,1458493498,43.03474,-76.1303491,131.8545934,1,1,-1
23,1737904745,43.0757475,-76.1732212,125.5132818,7,1,-1
23,757675095,43.0761447,-76.1750205,126.536932,7,1,-1
23,60575480,43.050029,-76.2419089,137.5286665,9,1,-1
23,1458493498,43.0346374,-76.1301781,132.0020242,1,1,-1
23,72524579,43.0378153,-76.1332229,127.3042497,1,1,-1
23,1708706542,43.0285916,-76.0381801,999,-1,1,-1
23,234184799,43.0358353,-76.1293304,131.013723,1,1,-1
24,1737904745,43.0756004,-76.1731286,125.2416608,7,1,-1
24,60575480,43.0499602,-76.2417089,137.4745048,9,1,-1
24,72524579,43.0376539,-76.1332034,127.5476051,1,1,-1
24,1458493498,43.0345347,-76.1300073,132.1485362,1,1,-1
24,757675095,43.0760413,-76.1748502,126.3203124,7,1,-1
24,1708706542,43.0285706,-76.038399,999,-1,1,-1
24,234184799,43.0357223,-76.129172,131.1857995,1,1,-1
25,1708706542,43.0285495,-76.038618,999,-1,1,-1
25,757675095,43.075938,-76.17468,126.1018562,7,1,-1
25,1737904745,43.0754533,-76.1730359,124.9649437,7,1,-1
25,234184799,43.0356092,-76.1290138,131.3560541,1,1,-1
25,60575480,43.0498914,-76.2415089,137.4209044,9,1,-1
