Time_Step,UAV_ID,Latitude,Longitude,Signal_strength,Current_Basestation,Finished
40,308936304,43.0365096,-76.1344616,126.7050529,5,1
50,308936304,43.0348893,-76.1344616,129.0588537,5,1
60,308936304,43.033269,-76.1344616,131.0621005,5,1
70,308936304,43.0316488,-76.1344616,132.7889578,5,1
70,995577767,43.075626,-76.1846614,129.2380702,9,1
70,1349696899,43.0369214,-76.1289996,127.6097133,5,1
80,995577767,43.075626,-76.1824512,127.4337368,9,1
80,1349696899,43.0353012,-76.1289996,129.7042679,5,1
80,308936304,43.0300285,-76.1344616,134.3215255,5,1
90,308936304,43.0284083,-76.1344616,135.6926436,5,1
90,1349696899,43.0336809,-76.1289996,131.5381389,5,1
90,995577767,43.075626,-76.180241,125.5766359,9,1
100,1349696899,43.0320607,-76.1289996,133.163017,5,1
100,995577767,43.075626,-76.1780308,123.8301402,9,1
100,734333482,43.0372539,-76.1374364,126.6472753,5,1
100,308936304,43.026788,-76.1344616,136.9331095,5,1
110,308936304,43.0251677,-76.1344616,138.059643,5,1
110,1349696899,43.0304404,-76.1289996,134.6153916,5,1
110,734333482,43.0372539,-76.1396453,126.8910801,5,1
110,995577767,43.075626,-76.1758206,122.507239,9,1
120,1349696899,43.0288202,-76.1289996,135.9290821,5,1
120,734333482,43.0372539,-76.1418541,127.6097133,5,1
120,995577767,43.075626,-76.1736104,122.0002165,9,1
120,308936304,43.0235475,-76.1344616,137.9263235,3,1
130,734333482,43.0372539,-76.1440629,128.6432646,5,1
130,1847469172,43.0770842,-76.1746092,125.3387321,9,1
130,995577767,43.075626,-76.1714002,122.507239,9,1
130,1024172633,43.0369515,-76.1339807,126.7050529,5,1
130,1349696899,43.0271999,-76.1289996,136.5596885,3,1
130,308936304,43.0219272,-76.1344616,137.5430949,3,1
140,734333482,43.0372539,-76.1462717,129.8635744,5,1
140,1024172633,43.0353312,-76.1339807,129.0588537,5,1
140,995577767,43.075626,-76.16919,122.0002165,9,1
140,1847469172,43.0770842,-76.172399,125.3387321,9,1
140,308936304,43.020307,-76.1344616,137.2448811,3,1
140,1349696899,43.0255796,-76.1289996,135.8364512,3,1
150,734333482,43.0372539,-76.1484805,131.1546133,5,1
150,1847469172,43.0770842,-76.1701887,125.3387321,9,1
150,1349696899,43.0239594,-76.1289996,135.168912,3,1
150,995577767,43.075626,-76.1669798,122.507239,9,1
150,1024172633,43.0337109,-76.1339807,131.0621005,5,1
150,308936304,43.0186867,-76.1344616,137.0378645,3,1
160,1024172633,43.0320907,-76.1339807,132.7889578,5,1
160,308936304,43.0170664,-76.1344616,136.5393785,2,1
160,1723823712,43.0372491,-76.1357763,126.8910801,5,1
160,995577767,43.075626,-76.1647697,123.8301402,9,1
160,1349696899,43.0223391,-76.1289996,134.5760652,3,1
160,1705551013,43.0515426,-76.2360301,131.8039422,7,1
160,734333482,43.0372539,-76.1506893,132.4502897,5,1
160,1847469172,43.0770842,-76.1679785,125.3387321,9,1
170,1847469172,43.0770842,-76.1657682,125.9484709,9,1
170,1024172633,43.0304704,-76.1339807,134.3215255,5,1
170,1705551013,43.0515426,-76.2338208,130.5035611,7,1
170,1723823712,43.0372491,-76.1379851,126.6472753,5,1
170,734333482,43.0372539,-76.1528981,133.7131287,5,1
170,308936304,43.0154462,-76.1344616,135.2887871,2,1
170,1349696899,43.0207189,-76.1289996,134.0946495,3,1
170,995577767,43.075626,-76.1625595,125.5766359,9,1
180,1349696899,43.0190986,-76.1289996,133.7551437,3,1
180,1705551013,43.0515426,-76.2316114,129.2380702,7,1
180,1024172633,43.0288502,-76.1339807,135.6926436,5,1
180,308936304,43.0138259,-76.1344616,133.9052856,2,1
180,1723823712,43.0372491,-76.1401939,126.8910801,5,1
180,995577767,43.075626,-76.1603493,127.4337368,9,1
180,734333482,43.0372539,-76.155107,134.9181306,5,1
180,1847469172,43.0770842,-76.163558,127.0183296,9,1
190,1024172633,43.0272299,-76.1339807,136.9331095,5,1
190,1349696899,43.0174783,-76.1289996,133.577763,3,1
190,734333482,43.0372539,-76.1573158,136.0562626,5,1
190,995577767,43.075626,-76.1581391,129.2380702,9,1
190,1705551013,43.0515426,-76.2294021,128.0979394,7,1
190,1847469172,43.0770842,-76.1613477,128.3544208,9,1
190,1723823712,43.0372491,-76.1424027,127.6097133,5,1
190,2040382279,43.0364955,-76.130596,126.8910801,5,1
190,308936304,43.0122056,-76.1344616,132.3758922,2,1
200,308936304,43.0105854,-76.1344616,130.6534425,2,1
200,995577767,43.075626,-76.1559289,130.9273004,9,1
200,1024172633,43.0256097,-76.1339807,138.059643,5,1
200,1723823712,43.0372491,-76.1446116,128.6432646,5,1
200,734333482,43.0372539,-76.1595246,137.1288393,5,1
200,1705551013,43.0515426,-76.2271928,127.1999678,7,1
200,1847469172,43.0770842,-76.1591375,129.7841646,9,1
200,2040382279,43.0348753,-76.130596,129.1905197,5,1
200,1349696899,43.0158581,-76.1289996,133.577763,3,1
210,1705551013,43.0515426,-76.2249834,126.7050529,7,1
210,1024172633,43.0239894,-76.1339807,137.9263235,3,1
210,1847469172,43.0770842,-76.1569273,131.2261163,9,1
210,308936304,43.0089651,-76.1344616,128.6928511,2,1
210,1723823712,43.0372491,-76.1468204,129.8635744,5,1
210,995577767,43.075626,-76.1537187,132.4780796,9,1
210,734333482,43.0372539,-76.1617334,138.1377862,5,1
210,2040382279,43.033255,-76.130596,131.1546133,5,1
210,1349696899,43.0142378,-76.1289996,133.577763,3,1
220,1024172633,43.0223691,-76.1339807,137.5430949,3,1
